Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,log_duration_B_full_span_hours,log1p_customers_v2
FREP-231661-Z,technical_asset,209.0,3.2169444444444446,17.216666666666665,51.6969245927576,0.255430767380644,2021-04-17,7.550000190734863,1030.699951171875,7.800000190734863,0.0,matched,E07000072,134941.0,Urban with Significant Rural (rural including hub towns 26-49%),0.224,0.14,0.091,2.0,1.0,11.812592924855009,2021,4,2.8458779068975377,5.3471075307174685
FREP-232147-Z,technical_asset,1.0,34.833333333333336,104.5,51.5417498136999,0.704664080153825,2021-04-20,11.5,1018.7999877929688,5.599999904632568,0.0,matched,E06000033,180655.0,Urban with City and Town,0.4549999999999999,0.38,0.144,0.0,1.0,12.10434441402282,2021,4,4.6491870714048655,0.6931471805599453
FREP-231824-Z,technical_asset,18.0,1.4092592592592592,5.516666666666667,51.7127893787513,-0.449056448411597,2021-04-19,3.0,1022.9000244140624,2.5999999046325684,0.0,matched,E07000096,155211.0,Urban with Significant Rural (rural including hub towns 26-49%),0.219,0.43,0.085,1.0,1.0,11.95254076050831,2021,4,1.7077738131549622,2.9444389791664403
FREP-231819-Z,technical_asset,6.0,13.916666666666666,13.916666666666666,51.5571815966734,0.267711486430724,2021-04-19,1.600000023841858,1023.0999755859376,2.5,0.0,matched,E09000016,262086.0,Urban with Major Conurbation,0.323,0.51,0.108,1.0,1.0,12.476427973157676,2021,4,2.6330871626287546,1.9459101490553132
FREP-233329-Z,technical_asset,159.0,4.7098742138364775,10.966666666666669,51.5627091314155,0.650513115757398,2021-04-26,2.400000095367432,1016.7000122070312,4.300000190734863,0.0,matched,E06000033,180655.0,Urban with City and Town,0.4549999999999999,0.38,0.144,1.0,1.0,12.10434441402282,2021,4,2.394860369103217,5.075173815233827
FREP-233091-Z,technical_asset,9.0,3.035185185185185,18.383333333333333,51.5802111294121,-0.366832983559517,2021-04-25,10.050000190734863,1026.4000244140625,12.199999809265137,0.0,matched,E09000015,261159.0,Urban with Major Conurbation,0.238,0.26,0.109,4.0,1.0,12.472884696222938,2021,4,2.911444457031402,2.302585092994046
FREP-232573-Z,technical_asset,21.0,2.8523809523809525,29.08333333333333,52.0775447517154,-0.531954989186488,2021-04-22,0.4000000059604645,1027.300048828125,3.700000047683716,0.0,matched,E06000055,185796.0,Urban with Significant Rural (rural including hub towns 26-49%),0.3189999999999999,0.36,0.114,0.0,1.0,12.132404576604838,2021,4,3.3701652724144266,3.091042453358316
FREP-232741-Z,technical_asset,2.0,13.933333333333334,13.933333333333334,52.3348370403047,-0.0673623505827406,2021-04-22,7.650000095367432,1028.4000244140625,3.900000095367432,0.0,matched,E07000011,181827.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.3,0.074,0.0,0.0,12.110810964549762,2021,4,2.634284050862601,1.0986122886681098
FREP-233497-Z,technical_asset,47.0,3.5141843971631204,4.166666666666667,52.3407372864036,-0.183060686204365,2021-04-27,11.75,1008.4000244140624,5.800000190734863,0.7000000476837158,matched,E07000011,181827.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.3,0.074,2.0,0.0,12.110810964549762,2021,4,1.4271163556401458,3.871201010907891
FREP-233103-Z,technical_asset,2.0,17.466666666666665,17.466666666666665,51.8669928379742,0.15131280587419,2021-04-25,4.699999809265137,1028.199951171875,8.899999618530273,0.0,matched,E07000242,150662.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1669999999999999,0.04,0.06,4.0,1.0,11.922794196215245,2021,4,2.8602943026588865,1.0986122886681098
FREP-234395-Z,technical_asset,3.0,29.98888888888889,66.1,51.5802111294121,-0.366832983559517,2021-05-02,12.550000190734863,1019.2000122070312,6.800000190734863,0.9000000357627869,matched,E09000015,261159.0,Urban with Major Conurbation,0.238,0.26,0.109,3.0,1.0,12.472884696222938,2021,5,4.191168746857641,1.3862943611198906
FREP-234031-Z,technical_asset,233.0,1.7099840891010345,13.683333333333334,51.8264756119988,-0.2224033103506,2021-04-30,3.950000047683716,1015.0,3.5999999046325684,0.1000000014901161,matched,E07000241,119747.0,Urban with City and Town,0.204,0.34,0.086,4.0,1.0,11.693136462767283,2021,4,2.6161785472303274,5.455321115357702
FREP-234409-Z,technical_asset,2.0,9.358333333333334,16.533333333333335,52.4381350996624,-0.104318851814372,2021-05-02,12.199999809265137,1018.5999755859376,6.099999904632568,0.5,matched,E07000011,181827.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.3,0.074,3.0,0.0,12.110810964549762,2021,5,2.8053785450627724,1.0986122886681098
FREP-75674-V,technical_asset,80.0,2.667766497461929,19.166666666666668,51.3775931642859,0.54051329034077,2021-12-12,11.399999618530272,1018.5,9.800000190734863,4.5,matched,E06000035,279903.0,Urban with City and Town,0.3849999999999999,0.39,0.134,1.0,1.0,12.542198393559719,2021,12,2.953172659135195,4.394449154672439
FREP-75456-C,technical_asset,2.0,5.733333333333333,5.733333333333333,51.7079575068702,-0.109337517316966,2023-06-03,20.25,1022.5,9.600000381469728,0.0,matched,E07000241,121668.0,Urban with City and Town,0.204,0.34,0.086,0.0,1.0,11.70905130274058,2023,6,1.7462970951512977,1.0986122886681098
FREP-75682-C,technical_asset,1.0,8.083333333333334,8.083333333333334,51.5408946262329,-0.288423634196154,2023-06-10,28.39999961853028,1012.5999755859376,9.5,0.0,matched,E09000005,348751.0,Urban with Major Conurbation,0.3239999999999999,0.55,0.155,1.0,1.0,12.762113479497113,2023,6,2.0898043287153825,0.6931471805599453
FREP-75720-C,technical_asset,59.0,4.873584905660378,31.383333333333333,51.5571815966734,0.267711486430724,2023-06-12,25.600000381469727,1014.7999877929688,7.199999809265137,0.1000000014901161,matched,E09000016,270305.0,Urban with Major Conurbation,0.323,0.51,0.108,0.0,1.0,12.507306230058678,2023,6,3.4462769664350517,4.0943445622221
FREP-14123-W,weather_natural,18.0,22.47777777777777,28.966666666666665,51.1176023620788,-0.162700185396882,2022-02-18,6.449999809265137,1000.9000244140624,21.399999618530277,6.900000095367432,matched,E07000226,119959.0,Urban with City and Town,0.2629999999999999,0.28,0.11,0.0,1.0,11.694905296716163,2022,2,3.3661457436032367,2.9444389791664403
FREP-75814-C,technical_asset,0.0,,1.0,51.6154977471396,0.523386328428622,2023-08-11,22.5,1017.5,11.699999809265137,0.1000000014901161,matched,E07000066,191120.0,Urban with City and Town,0.3339999999999999,0.58,0.138,2.0,1.0,12.160656781999691,2023,8,0.0,0.0
FREP-14126-W,weather_natural,7.0,54.740476190476194,56.1,51.1511090372096,-0.504034443005657,2022-02-20,11.25,1007.2000122070312,17.399999618530273,4.699999809265137,matched,E07000216,130327.0,Largely Rural (rural including hub towns 50-79%) ,0.1689999999999999,0.03,0.054,2.0,0.0,11.777801955768314,2022,2,4.027135812528651,2.0794415416798357
FREP-75881-C,technical_asset,88.0,7.582196969696969,15.233333333333333,51.5435107344375,0.66190200913381,2023-06-15,18.950000762939453,1020.4000244140624,8.199999809265137,0.0,matched,E06000033,182771.0,Urban with City and Town,0.4549999999999999,0.38,0.144,3.0,1.0,12.115989282090963,2023,6,2.723486009232049,4.48863636973214
FREP-13382-O,technical_asset,3.0,10.483333333333333,51.583333333333336,51.8477438633511,0.156507335423487,2023-03-11,6.300000190734863,1010.5999755859376,7.699999809265137,0.6000000238418579,matched,E07000242,153897.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1669999999999999,0.04,0.06,0.0,1.0,11.944038826459588,2023,3,3.943198622896596,1.3862943611198906
FREP-75405-V,technical_asset,0.0,,3.683333333333333,51.3401270967876,-0.112121674562762,2021-11-26,6.199999809265137,995.0,12.699999809265137,1.2000000476837158,matched,E09000008,390691.0,Urban with Major Conurbation,0.4009999999999999,0.49,0.136,1.0,1.0,12.87567224520067,2021,11,1.303818139295652,0.0
FREP-13385-W,technical_asset,17.0,4.15,4.15,51.3716193769765,-0.41751053769564,2021-07-15,20.799999237060547,1022.2000122070312,10.399999618530272,0.2000000029802322,matched,E07000207,139453.0,Urban with Major Conurbation,0.211,0.16,0.057,2.0,1.0,11.84548290591136,2021,7,1.423108334242607,2.8903717578961645
FREP-13415-O,technical_asset,0.0,,1.0,51.63312443289,-0.0729010312776826,2023-04-28,12.899999618530272,1009.5999755859376,9.300000190734863,9.899999618530272,matched,E09000010,328014.0,Urban with Major Conurbation,0.3209999999999999,0.66,0.171,1.0,1.0,12.70081156938222,2023,4,0.0,0.0
FREP-75454-C,technical_asset,0.0,,2.9166666666666665,51.724849731361,0.666506126793838,2023-06-03,20.0,1023.2999877929688,9.800000190734863,0.0,matched,E07000074,68400.0,Mainly Rural (rural including hub towns >=80%) ,0.185,0.05,0.086,0.0,0.0,11.133128103610641,2023,6,1.0704414117014134,0.0
FREP-75915-C,technical_asset,0.0,,5.616666666666666,51.5991240914575,0.164403426828368,2023-06-17,18.450000762939453,1015.2000122070312,8.100000381469727,1.0,matched,E09000016,270305.0,Urban with Major Conurbation,0.323,0.51,0.108,3.0,1.0,12.507306230058678,2023,6,1.725738368130261,0.0
FREP-13494-W,weather_natural,423.0,2.062853333333333,5.45,51.1135126645777,0.470287144925582,2021-08-17,11.050000190734863,1021.2000122070312,4.800000190734863,0.0,matched,E07000116,115650.0,Urban with Significant Rural (rural including hub towns 26-49%),0.213,0.19,0.073,3.0,1.0,11.658323667659586,2021,8,1.6956156086751528,6.049733455231958
FREP-13502-W,technical_asset,13.0,2.935897435897436,18.566666666666663,50.8842134480558,0.550041887461657,2021-08-17,16.049999237060547,1020.2000122070312,9.300000190734863,0.800000011920929,matched,E07000062,90974.0,Urban with City and Town,0.454,0.27,0.202,3.0,1.0,11.41832903038917,2021,8,2.9213678582651283,2.6390573296152584
FREP-75577-C,technical_asset,58.0,1.942233009708738,20.25,51.8699295807735,0.865313030104816,2023-06-06,14.649999618530272,1023.7000122070312,9.399999618530272,0.2000000029802322,matched,E07000071,198497.0,Urban with Significant Rural (rural including hub towns 26-49%),0.287,0.34,0.099,4.0,1.0,12.198529265645048,2023,6,3.0081547935525483,4.07753744390572
FREP-13543-W,technical_asset,1.0,2.5166666666666666,2.5166666666666666,50.927579327247,-0.390106657160305,2021-08-19,16.600000381469727,1014.0,9.300000190734863,2.400000095367432,matched,E07000227,147500.0,Largely Rural (rural including hub towns 50-79%) ,0.124,0.03,0.056,3.0,0.0,11.901583454762012,2021,8,0.9229352745928237,0.6931471805599453
FREP-76134-C,technical_asset,1.0,3.45,3.45,51.8699295807735,0.865313030104816,2023-06-22,21.049999237060547,1019.2999877929688,7.0,0.800000011920929,matched,E07000071,198497.0,Urban with Significant Rural (rural including hub towns 26-49%),0.287,0.34,0.099,3.0,1.0,12.198529265645048,2023,6,1.2383742310432684,0.6931471805599453
